player,year_signed,apy,med_adjusted_apy,mean_adjusted_apy,smooth_adjusted_apy
Geno Smith,2023,25.0,45.68750580532402,3.1326807275490998,5.924179319051074
Brett Favre,1994,3.8,0.9999999999999999,0.11630906520033304,0.9999999999999999
Aaron Rodgers,2008,12.704,5.556069804797038,1.3831851633868153,2.177440019530611
Jimmy Garoppolo,2023,24.25,44.265793798681784,3.025969465909403,5.726215894516414
Kurt Warner,2000,6.642857,1.51741783396173,0.520795541375325,0.8715269062119976
Teddy Bridgewater,2020,21.0,43.15286624203821,2.5635539988040494,5.151990612300012
Steve McNair,1995,3.92025,0.7995081545645261,0.13341843748323112,0.8270219197234432
Tom Brady,2002,7.40625,1.0441432487446782,0.6294123815845425,0.7534567818670562
Tony Romo,2007,11.25,7.240704500978475,1.1763075974879893,1.7062111588025246
Kevin Kolb,2011,12.4216,10.65180909730099,1.3430048163374144,1.5997529364083811
Brett Favre,2009,12.5,2.389665719903867,1.3541597002208177,1.5455581661633369
Case Keenum,2018,18.0,40.24942263279446,2.136708952245262,4.090984336325791
Sam Bradford,2010,13.0,3.731051517107863,1.425300541313949,1.7678066248614728
Colin Kaepernick,2016,15.6,46.32558139534884,1.7952329149982313,2.9308409661496997
Eli Manning,2004,7.998333,0.5891474237430567,0.7136549468184313,1.006577177877276
Blake Bortles,2018,17.4835,39.05658198614319,2.063220463396057,3.9510058229113025
Donovan McNabb,1999,5.65,0.0,0.3795301772449189,0.5039615680742304
Donovan McNabb,2009,12.1,2.2804238584225476,1.2972470273463124,1.4689961112482834
Drew Brees,2006,10.0,3.767167689505016,0.998455494755161,2.1675968610653777
David Carr,2002,6.964286,0.9154774298277486,0.5665290001987732,0.6291042636570963
Matt Stafford,2009,12.0,2.253113393052218,1.2830188591276863,1.4498555975195202
Matt Ryan,2008,11.25,4.76436797255724,1.1763075974879893,1.7928836347120587
Alex Smith,2005,8.25,1.2008193826375644,0.7494625509292016,0.8918904489575878
Brian Griese,2001,6.5,-0.1957521777429774,0.5004696071032421,0.6326309974925466
Kevin Kolb,2010,12.222,3.42205570781388,1.3146053925730363,1.591399842087812
Drew Brees,2005,8.078,1.1522215158578792,0.7249901015931642,0.8477547929402813
Matt Hasselbeck,2005,8.0,1.1301829483647665,0.7138921303826359,0.8277397861417355
Kurt Warner,2009,11.5,2.116561066200568,1.211878018034555,1.3541530288757035
