,player_display_name,year_signed,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,mean_adj_salary_per_year,med_adj_salary_per_year,salary_per_year,smoothed_salary_per_year,predicted_median_salary
10,Joshua Kelley,2024.0,17.0,107.0,405.0,2.0,1.0,1.0,21.0,-26.154033202018944,8.0,12.0,39.0,0.0,-5.66513554926496,0.0412371134020618,53.7,0.0588672828942418,0.5418256569225618,1.125,0.2843188997770676,1.1495711949566363
12,Cam Akers,2024.0,7.0,60.0,167.0,2.0,0.0,0.0,12.0,-4.78788391471329,11.0,12.0,78.0,2.0,1.2472380947438069,0.058252427184466,35.7,0.088176400772955,0.6512853855937865,1.175,0.3493437264034975,0.5282822384067521
13,DeeJay Dallas,2024.0,10.0,10.0,36.0,0.0,0.0,0.0,2.0,0.1562643311335705,6.0,9.0,31.0,1.0,-7.687290642526932,0.036144578313253,6.2,1.0114136139524226,4.0992668387373605,2.75,2.397625765136036,-0.1468724396850036
18,Nick Chubb,2024.0,2.0,28.0,170.0,0.0,0.0,0.0,8.0,4.113698623608798,4.0,4.0,20.0,1.0,0.7501136377686635,0.1379310344827586,19.1,0.7329769941046466,3.059399416360727,2.275,1.779889912184953,8.065985452915573
28,Chuba Hubbard,2024.0,17.0,238.0,902.0,5.0,0.0,0.0,59.0,-21.51596444684838,39.0,44.0,269.0,9.0,-10.740264819702134,0.0866141732283464,143.5,4.264725698489594,16.249296721243294,8.3,9.615381520669745,12.534992124808943
29,Gary Brightwell,2024.0,3.0,9.0,19.0,0.0,0.0,0.0,0.0,-3.899821025552228,5.0,7.0,53.0,2.0,2.0630525096785277,0.075268817204301,6.6000000000000005,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,0.40332890676683497
32,Rhamondre Stevenson,2024.0,12.0,156.0,619.0,4.0,1.0,1.0,36.0,-12.854978864108364,38.0,51.0,261.0,8.0,-18.016630836844765,0.1275,107.7,4.675053348791579,17.781732922640433,9.0,10.525729093439764,9.398128770522423
33,Michael Carter,2024.0,15.0,30.0,187.0,0.0,0.0,0.0,9.0,3.0564268973000885,24.0,31.0,87.0,5.0,-14.75494195598475,0.0663811563169164,34.800000000000004,0.0955036802426333,0.6786503177615926,1.1875,0.3655999330601049,-0.5627764740796157
36,James Conner,2024.0,13.0,208.0,1040.0,7.0,0.0,0.0,57.0,13.943058458103696,27.0,33.0,221.0,11.0,4.21923359669745,0.09375,174.5,4.968144527578711,18.87633020935268,9.5,11.17597735970406,16.311225837320894
38,Dare Ogunbowale,2024.0,7.0,10.0,42.0,0.0,0.0,0.0,2.0,-3.366614831060356,3.0,8.0,13.0,0.0,-10.057546451920643,0.0479041916167664,7.300000000000001,0.2786856669845912,1.362773621956746,1.5,0.7720050994752912,-0.4779054915481947
57,Raheem Blackshear,2024.0,8.0,14.0,46.0,0.0,0.0,0.0,1.0,-4.492898128384578,6.0,7.0,38.0,1.0,-2.0544214530382305,0.0414201183431952,11.1,-0.0231982471661553,0.2353384166431329,0.985,0.1022493852230641,0.11570608073589111
58,Ronnie Rivers,2024.0,8.0,35.0,138.0,0.0,0.0,0.0,5.0,-5.216205778637426,8.0,8.0,88.0,2.0,1.472169388900511,0.0444444444444444,19.5,-0.0231982471661553,0.2353384166431329,0.985,0.1022493852230641,0.49121751191488894
59,Julius Chestnut,2024.0,3.0,9.0,12.0,0.0,0.0,0.0,1.0,-4.986849715642165,3.0,3.0,39.0,1.0,0.7811529350001365,0.0394736842105263,5.300000000000001,-0.0231982471661553,0.2353384166431329,0.985,0.1022493852230641,0.40332890676683497
60,Isaiah Spiller,2024.0,9.0,37.0,96.0,0.0,0.0,0.0,1.0,-14.360955198761076,6.0,6.0,39.0,1.0,0.5254501588632001,0.0458015267175572,13.0,-0.4686968389225967,-1.4284494591594807,0.225,-0.8861279794986687,0.48386386318794017
62,Raheem Mostert,2024.0,16.0,217.0,1045.0,18.0,2.0,1.0,61.0,16.812971017352538,26.0,34.0,216.0,6.0,-3.7544438093457497,0.0708333333333333,245.7,1.8203452674049083,7.120355350063159,4.13,4.192310980025498,16.81313033512322
63,Ameer Abdullah,2024.0,16.0,15.0,89.0,0.0,0.0,0.0,6.0,2.6026256582267893,19.0,24.0,88.0,4.0,-14.259469358250936,0.0493827160493827,22.0,0.483849492135584,2.1289917226553183,1.85,1.2271788858603,-0.5998412005714792
65,Ezekiel Elliott,2024.0,17.0,184.0,642.0,3.0,1.0,0.0,33.0,-27.282744640982337,51.0,65.0,374.0,12.0,-10.107500240426049,0.138004246284501,123.5,0.5717768457717237,2.457370908668992,2.0,1.422253365739589,7.6350664558628125
67,Aaron Jones,2024.0,13.0,181.0,882.0,5.0,1.0,1.0,48.0,10.653256035089726,34.0,50.0,297.0,14.0,5.709951194535108,0.1204819277108433,149.60000000000002,3.5026886336430487,13.403343775791452,7.0,7.924736028382568,15.2414201963681
68,Matt Breida,2024.0,15.0,55.0,151.0,1.0,0.0,0.0,7.0,-13.719976917954732,17.0,21.0,89.0,2.0,-9.726522905286402,0.063063063063063,29.9,0.1086927832880543,0.7279071956636435,1.21,0.3948611050419982,-0.031949984988949465
69,Samaje Perine,2024.0,17.0,53.0,238.0,1.0,1.0,1.0,14.0,-9.491747709958586,50.0,56.0,462.0,23.0,12.1308481818675,0.1174004192872117,71.30000000000001,0.2786856669845912,1.362773621956746,1.5,0.7720050994752912,10.687242622813619
73,Dalvin Cook,2024.0,15.0,75.0,237.0,0.0,2.0,2.0,11.0,-26.319714879124028,15.0,20.0,106.0,3.0,-2.2741327221738175,0.0505050505050505,27.500000000000004,-0.3220082210337823,-0.8806166523274422,0.475244,-0.5606865252125828,0.5338996366309109
74,Joe Mixon,2024.0,17.0,257.0,1034.0,9.0,0.0,0.0,59.0,-18.04731191544719,52.0,64.0,463.0,14.0,2.2984562656331287,0.1081081081081081,215.0,5.18796291166906,19.697278174386863,9.875,11.663663559402284,15.063928113173134
76,Kareem Hunt,2024.0,16.0,143.0,437.0,10.0,0.0,0.0,40.0,-5.763592972520627,20.0,27.0,117.0,6.0,-6.659895223972853,0.0579399141630901,119.0,0.1086927832880543,0.7279071956636435,1.21,0.3948611050419982,3.0880666921210507
77,D'Onta Foreman,2024.0,9.0,109.0,425.0,4.0,1.0,0.0,24.0,-4.143150425195927,11.0,16.0,65.0,6.0,1.204451046185568,0.0851063829787234,80.2,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,1.689519451640708
78,Jeff Wilson,2024.0,10.0,41.0,188.0,0.0,0.0,0.0,8.0,-0.9232725574984216,15.0,19.0,78.0,3.0,1.8943085753863491,0.0695970695970696,27.9,0.4252312563781574,1.910072265312869,1.75,1.0971292326074402,0.43757789443536066
79,Gus Edwards,2024.0,19.0,211.0,870.0,13.0,2.0,2.0,53.0,-11.409124362811776,14.0,16.0,160.0,6.0,8.979267282178625,0.0553633217993079,182.5,1.3045047927395552,5.193864125449607,3.25,3.0478740314003336,9.208250682007606
80,Mike Boone,2024.0,7.0,5.0,23.0,0.0,1.0,0.0,2.0,-1.9981542084133253,7.0,9.0,33.0,2.0,0.0462153304615289,0.0625,6.300000000000001,0.0588672828942418,0.5418256569225618,1.125,0.2843188997770676,0.10001705752945081
83,Boston Scott,2024.0,10.0,20.0,86.0,0.0,0.0,0.0,5.0,-3.1741028486867435,4.0,6.0,43.0,2.0,2.976363208494149,0.0284360189573459,13.8,0.1174855186516683,0.7607451142650111,1.225,0.4143685530299273,0.48327598252801685
84,Chase Edmonds,2024.0,15.0,60.0,207.0,0.0,0.0,0.0,9.0,-9.858571140530731,17.0,21.0,143.0,6.0,2.2378087653778493,0.0575342465753424,31.4,0.2786856669845912,1.362773621956746,1.5,0.7720050994752912,0.6166568832329504
85,Rashaad Penny,2024.0,3.0,11.0,33.0,0.0,0.0,0.0,1.0,-3.2943744122749195,1.0,1.0,6.0,0.0,-0.1015213041100651,0.0454545454545454,3.8,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,-0.40655988760923994
87,Royce Freeman,2024.0,9.0,77.0,319.0,2.0,0.0,0.0,17.0,-6.533680742758492,1.0,2.0,14.0,1.0,-0.2510662560816854,0.04,45.2,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,0.2760046565851649
88,Saquon Barkley,2024.0,14.0,247.0,962.0,6.0,2.0,2.0,51.0,-50.37396212196922,41.0,60.0,226.0,16.0,-6.571395814604385,0.1534526854219949,182.2,6.775539934705242,25.626346081013335,12.583333,15.185841234835053,12.612277440237476
89,Alexander Mattison,2024.0,16.0,180.0,700.0,0.0,2.0,2.0,28.0,-31.740954303268495,30.0,44.0,181.0,5.0,-5.054178302693317,0.0816326530612244,103.2,0.5717768457717237,2.457370908668992,2.0,1.422253365739589,4.298103643659231
90,Justice Hill,2024.0,18.0,100.0,456.0,3.0,0.0,0.0,21.0,-0.6459361489755526,34.0,48.0,278.0,12.0,-2.1806002540397458,0.1093394077448747,92.7,1.157959203345989,4.646565482093484,3.0,2.722749898268185,4.233492593941748
91,Devin Singletary,2024.0,19.0,238.0,986.0,5.0,1.0,0.0,44.0,-21.24690278126987,38.0,47.0,265.0,9.0,-3.5979049200232263,0.0815972222222222,157.34,2.6234150972816512,10.119551915654714,5.5,5.973991229589675,12.518190706266344
92,Tony Pollard,2024.0,18.0,267.0,1061.0,7.0,1.0,1.0,60.0,-15.82065932340033,62.0,76.0,354.0,13.0,-6.272624822288067,0.122778675282714,182.1,3.6492342230366153,13.950642419147574,7.25,8.249860161514718,13.243632932907305
93,Trayveon Williams,2024.0,14.0,15.0,69.0,0.0,0.0,0.0,2.0,-2.09436621592613,7.0,9.0,35.0,0.0,-7.627276058227474,0.0401785714285714,7.9,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,-0.1468724396850036
94,Ty Johnson,2024.0,9.0,45.0,198.0,0.0,1.0,0.0,14.0,0.1187335444479962,8.0,10.0,71.0,3.0,0.803152265434619,0.0549450549450549,33.400000000000006,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,0.5282822384067521
95,Craig Reynolds,2024.0,7.0,42.0,180.0,2.0,1.0,1.0,12.0,-2.451461628457764,5.0,5.0,59.0,2.0,2.8365457532927394,0.0316455696202531,32.699999999999996,0.0588672828942418,0.5418256569225618,1.125,0.2843188997770676,0.7821872709720592
96,D'Ernest Johnson,2024.0,15.0,41.0,108.0,0.0,0.0,0.0,5.0,-13.305333968893583,10.0,12.0,136.0,6.0,9.814723854260428,0.044776119402985,24.8,0.1467946365303815,0.8702048429362353,1.275,0.4793933796563569,0.9989235935948527
97,David Montgomery,2024.0,17.0,258.0,1198.0,15.0,2.0,1.0,70.0,11.084020125523432,22.0,31.0,184.0,11.0,-5.43685761874076,0.0655391120507399,226.0,4.748326143488361,18.055382244318498,9.125,10.688291160005836,10.634792272975021
98,Josh Jacobs,2024.0,13.0,233.0,805.0,6.0,2.0,1.0,34.0,-44.319291594730835,37.0,54.0,293.0,15.0,-0.3965485799516974,0.1417322834645669,144.1,6.433600421514374,24.34931664291391,12.0,14.42721869102555,13.85052005486876
99,James Robinson,2024.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,-0.4817213636124506,1.0,1.0,1.0,0.0,-1.1249163909815252,0.0285714285714285,0.0,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,-0.4698974198151117
100,Tony Jones,2024.0,6.0,26.0,95.0,2.0,0.0,0.0,7.0,1.6878569997206796,7.0,10.0,44.0,1.0,-4.623583573488871,0.0854700854700854,25.2,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,0.3333261470929598
104,Patrick Taylor,2024.0,11.0,35.0,147.0,0.0,0.0,0.0,7.0,-5.151838086149856,11.0,17.0,59.0,4.0,-5.777341604611138,0.0648854961832061,19.6,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,0.1394381473808537
106,Salvon Ahmed,2024.0,7.0,22.0,61.0,1.0,0.0,0.0,3.0,-0.2332644760026596,16.0,23.0,109.0,4.0,-10.489007843163565,0.0927419354838709,26.9,0.1570528277879312,0.908515747971164,1.2925,0.5021520689756075,-0.28503522757198935
107,Rico Dowdle,2024.0,17.0,91.0,372.0,2.0,0.0,0.0,17.0,-5.4031036363220455,19.0,25.0,183.0,8.0,7.090250242752676,0.05175983436853,79.0,0.1350709893788962,0.8264209514677455,1.255,0.453383449005785,1.857071302108254
110,La'Mical Perine,2024.0,2.0,22.0,77.0,0.0,0.0,0.0,3.0,-2.3794992521381046,3.0,5.0,32.0,1.0,-0.1560670422040857,0.087719298245614,11.0,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,0.4100625697179323
112,Darrynton Evans,2024.0,6.0,32.0,121.0,1.0,0.0,0.0,10.0,0.6038455819798321,7.0,12.0,69.0,2.0,-5.2291400569987045,0.081081081081081,23.0,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,0.34126767647983175
120,Ke'Shawn Vaughn,2024.0,5.0,24.0,42.0,0.0,0.0,0.0,0.0,-11.136832802963909,2.0,5.0,1.0,0.0,-4.583285461587366,0.036231884057971,4.4,0.0588672828942418,0.5418256569225618,1.125,0.2843188997770676,-0.10767310329995256
122,Deon Jackson,2024.0,2.0,14.0,16.0,0.0,1.0,1.0,1.0,-11.443214091501432,5.0,6.0,20.0,0.0,-8.510520981624722,0.1538461538461538,-0.9999999999999998,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,6.9385957434977765
128,Jake Funk,2024.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,-0.883889150689356,1.0,1.0,12.0,1.0,1.4138173322426155,0.0256410256410256,2.2,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,2.714775782815932
131,Trey Sermon,2024.0,8.0,35.0,160.0,0.0,0.0,0.0,7.0,-1.1124951226762183,3.0,6.0,6.0,0.0,-3.0399064863951426,0.0387096774193548,17.3,0.0178345178640432,0.3885820367828472,1.055,0.1932841425000658,-0.28954808535619464
132,Kevin Harris,2024.0,4.0,16.0,65.0,1.0,0.0,0.0,2.0,-2.280369054118637,3.0,3.0,59.0,2.0,4.877603708358947,0.0566037735849056,18.3,-0.4686968389225967,-1.4284494591594807,0.225,-0.8861279794986687,0.41127043615370695
133,Keaontay Ingram,2024.0,7.0,35.0,74.0,0.0,0.0,0.0,4.0,-11.316711037424264,4.0,4.0,31.0,1.0,0.3377586557762697,0.0421052631578947,10.0,-0.0231982471661553,0.2353384166431329,0.985,0.1022493852230641,0.32250660776200013
140,Evan Hull,2024.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.4869537617778406,1.0,1.0,3.0,0.0,-0.1081181430490687,0.0256410256410256,0.7000000000000001,-0.1345728951052656,-0.1806085523075203,0.795,-0.144844955957369,0.728127629505697
141,Chris Rodriguez Jr.,2024.0,8.0,51.0,247.0,2.0,1.0,1.0,14.0,-3.4841602042724844,2.0,2.0,19.0,1.0,0.4543300392106175,0.027027027027027,35.9,-0.0642310121963538,0.0820947965034186,0.915,0.0112146279460625,0.6128884861592466
145,Emanuel Wilson,2024.0,7.0,26.0,121.0,0.0,0.0,0.0,4.0,-2.255432304693386,5.0,6.0,46.0,2.0,2.485812561964849,0.0410958904109589,15.5,-0.0642310121963538,0.0820947965034186,0.915,0.0112146279460625,0.48327598252801685
146,Elijah Dotson,2024.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,-3.1967907728394493,2.0,2.0,14.0,0.0,0.3764428426511585,0.0512820512820512,1.9,-0.0642310121963538,0.0820947965034186,0.915,0.0112146279460625,3.9039354152478776
