,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
156,Deven Thompkins,68.0,155.0,25.0,WR,87.0,0.07,5.0,0.98,1.99
157,Brandon Johnson,74.0,186.0,26.0,WR,284.0,0.1,12.0,0.35,3.03
160,Kyle Philips,71.0,191.0,25.0,WR,181.0,0.1,9.0,0.22,1.32
161,David Bell,74.0,205.0,24.0,WR,221.0,0.08,11.0,1.25,2.35
162,Parris Campbell,72.0,205.0,27.0,WR,104.0,0.11,2.0,1.29,1.06
163,Samori Toure,75.0,190.0,27.0,WR,78.0,0.07,4.0,0.22,0.81
164,Amon-Ra St. Brown,73.0,195.0,25.0,WR,1789.0,0.3,93.0,30.0,30.95
165,Terrace Marshall Jr.,,,,WR,139.0,0.12,8.0,1.06,0.97
166,Kadarius Toney,72.0,193.0,26.0,WR,169.0,0.09,12.0,1.06,1.43
167,DeVonta Smith,73.0,165.0,26.0,WR,1214.0,0.24,53.0,25.0,24.82
168,Austin Trammell,70.0,185.0,26.0,WR,29.0,0.12,2.0,0.98,1.93
169,Simi Fehoko,76.0,227.0,27.0,WR,9.0,0.05,1.0,1.06,1.05
170,Ihmir Smith-Marsette,73.0,179.0,25.0,WR,51.0,0.06,5.0,1.41,0.98
171,Jaylen Waddle,70.0,182.0,26.0,WR,1045.0,0.22,49.0,28.25,21.52
172,Nico Collins,76.0,222.0,26.0,WR,1461.0,0.23,62.0,24.25,25.34
173,Rashod Bateman,74.0,210.0,25.0,WR,408.0,0.13,22.0,6.44,3.54
174,Mike Strachan,77.0,205.0,27.0,WR,45.0,0.05,1.0,0.3,0.91
175,Darius Slayton,73.0,190.0,28.0,WR,770.0,0.16,29.0,6.2,5.51
176,DeVante Parker,75.0,216.0,32.0,WR,394.0,0.14,17.0,1.21,2.45
177,Greg Dortch,67.0,173.0,26.0,WR,280.0,0.14,14.0,1.12,2.65
178,Mack Hollins,76.0,221.0,31.0,WR,251.0,0.1,9.0,2.6,1.66
