season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
2001,Marshall Faulk,17,324,1699.0,15,2.0,2.0,88.0,29.095612733480365,97,122,0.0,44.0,35.38399388316086,0.21180555555555555,397.8,6.633333,1.3731485078858596,3.2877549071383663,1.0,2002.0
2001,Eddie George,16,315,939.0,5,8.0,6.0,38.0,-72.94609272528726,37,50,11.0,11.0,0.19248366906069503,0.1026694045174538,139.8,2.2,-0.4060094536421461,0.6890133172865768,0.70765148164529,2004.0
2001,Priest Holmes,16,327,1555.0,8,2.0,1.0,80.0,17.91257698501616,62,75,0.0,21.0,11.39771893072496,0.14563106796116504,272.9,6.8875,2.002959503806598,3.436743118415944,3.480807044541336,2003.0
2001,Edgerrin James,6,151,662.0,3,2.0,1.0,40.0,0.4849434555583443,24,29,0.0,9.0,1.2334623257629573,0.1407766990291262,101.5,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
2001,Curtis Martin,17,349,1619.0,10,2.0,2.0,84.0,-9.47389040924353,59,70,-2.0,14.0,-6.999267806118362,0.15021459227467812,256.02000000000004,5.204845,0.8615321876223955,2.450400443531819,0.0,2002.0
2001,Emmitt Smith,14,261,1021.0,3,1.0,1.0,47.0,-32.88194816115884,17,21,0.0,6.0,0.02314938311409387,0.07924528301886792,129.70000000000002,3.75,0.2942909038256588,1.5975959715266876,0.7984953406856461,2003.0
2001,Shaun Alexander,16,309,1318.0,14,4.0,4.0,61.0,-19.510577044096664,44,59,0.0,15.0,4.7126326950925215,0.14713216957605985,254.10000000000002,6.323,1.418831611764879,3.105843177565272,1.534835288221823,2005.0
2001,Travis Henry,13,213,729.0,4,5.0,2.0,34.0,-33.38817095037666,22,27,0.0,6.0,-0.27854934286883815,0.06633906633906633,110.80000000000001,1.882,-0.7230136204020366,0.5026073275779603,-0.7984953406856459,2003.0
2001,LaDainian Tomlinson,16,339,1236.0,10,5.0,4.0,67.0,-48.275627762019376,59,74,0.0,12.0,-16.524853896388038,0.13703703703703704,210.3,8.0,1.7514616284327045,4.088870991217314,5.838124723573641,2004.0
2002,Tiki Barber,17,330,1502.0,12,5.0,5.0,76.0,-33.01066515587385,74,100,0.0,25.0,0.7179842695178418,0.17094017094017094,276.1,6.5,1.4950179939764727,3.2095974548559165,1.609689861011551,2005.0
2002,Jerome Bettis,14,191,670.0,9,1.0,1.0,42.0,-7.842137869265315,7,9,0.0,3.0,2.7800319837406278,0.03614457831325301,124.7,3.611667,0.1190992929129155,1.5165076074563666,1.9563617868199916,2004.0
2002,Marshall Faulk,14,212,953.0,8,2.0,2.0,51.0,-5.853349750498618,80,102,0.0,23.0,-5.550807550508894,0.19065420560747665,203.0,2.95,-0.0330139656345953,1.1286500854672756,0.1083693333079588,2005.0
