,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
186,2023,Gunner Olszewski,2,1,1,0.0,0,0.0,0.0,-6.185572614893317,0.0344827586206896,4.0,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,-0.2206517842308899
197,2023,Donovan Peoples-Jones,12,13,25,155.0,0,35.0,7.0,-3.968731564570748,0.0632911392405063,15.500000000000002,1.3,0.210213788952878,0.0419014713012328,1.2168674698795183,2024.0,-0.028662535178805803
196,2023,Nick Westbrook-Ikhine,13,28,45,370.0,3,107.0,18.0,19.626265826706227,0.119047619047619,57.00000000000001,2.0,0.7782570501590137,0.3044903088663235,2.903614457831326,2024.0,1.5775395904445078
195,2023,Mason Kinsey,1,1,1,6.0,0,8.0,0.0,-1.066386302234605,0.04,0.6000000000000001,0.9725,-0.0555493082542783,-0.0809525919881488,0.427710843373494,2024.0,-0.03634634017414777
194,2023,Isaiah Hodgins,14,21,33,230.0,3,75.0,12.0,3.931588048591399,0.0795180722891566,39.0,1.035,-0.004831159932302,-0.0575071600626943,0.5783132530120481,2024.0,0.6217010640087235
191,2023,James Proche,2,0,5,0.0,0,0.0,0.0,-7.283761017082725,0.087719298245614,0.0,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,-0.21140389766066342
190,2023,Trishton Jackson,2,2,4,9.0,0,7.0,0.0,-2.6580638459699046,0.0512820512820512,2.9000000000000004,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,0.11503178863785685
189,2023,Miles Boykin,4,3,4,17.0,0,2.0,0.0,-0.7242805205169134,0.0350877192982456,1.7000000000000002,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,-0.17442272537093628
188,2023,A.J. Brown,17,106,158,1456.0,7,473.0,70.0,65.87283749351666,0.3009523809523809,183.6,32.0,25.12296824470769,11.558297633084496,75.19277108433737,2024.0,22.242794358728595
187,2023,Marquise Brown,13,51,101,574.0,4,164.0,32.0,-4.734340494949638,0.2493827160493827,83.7,7.0,4.835708915917126,2.180124862902686,14.951807228915666,2024.0,3.6887008308052267
214,2023,Tyler Johnson,1,2,3,8.0,1,1.0,1.0,1.852269433264155,0.1304347826086956,6.8,1.13,0.072260425517102,-0.0218701035360035,0.8072289156626504,2024.0,0.701885905494218
